nested,median_walk_score
Adams,6.889364602544889
Alki,0.18062368417950664
Arbor Heights,4.86507399421375
Atlantic,8.061568655610362
Belltown,12.84998469224684
Bitter Lake,1.3618779834367127
Briarcliff,14.928725324508127
Brighton,6.858691279210529
Broadview,0.7666976894741501
Broadway,9.789709042848624
Bryant,5.978885312141898
Cedar Park,1.8353743374726526
Centennial Park,4.913313085815047
Central Business District,7.6694818169257575
Columbia City,17.059976987547287
Crown Hill,0.8709867080954453
Discovery Park,15.56824024661678
Dunlap,9.44124878139353
East Queen Anne,2.0875256740019976
Eastlake,3.451271981084167
Fairmount Park,2.8856802249429365
Fauntleroy,0.6494397074210962
First Hill,0.0014337259284522119
Fremont,7.65151965056607
Gatewood,0.6973077919400299
Genesee,3.1671833284817557
Georgetown,0.0
Green Lake,10.826714479512601
Greenwood,7.631512693925102
Haller Lake,0.0
Harbor Island,0.22884901146633663
Harrison - Denny-Blaine,2.824240512678498
High Point,3.32051142657321
Highland Park,2.8671262045975054
Holly Park,1.4875328003544008
Industrial District,0.0
Interbay,4.0766223199596965
International District,6.774056565023506
Laurelhurst,4.481779413167268
Lawton Park,15.56824024661678
Leschi,0.6295081767936767
Lower Queen Anne,4.911999487755332
Loyal Heights,7.448364283699803
Madison Park,2.824240512678498
Madrona,4.192677034472228
Mann,3.744315979753195
Maple Leaf,4.416181984016224
Matthews Beach,6.19448139892748
Meadowbrook,6.19448139892748
Mid-Beacon Hill,7.082059106783825
Minor,8.061568655610362
Montlake,18.218098189692842
Mount Baker,17.059976987547287
North Admiral,6.4744766177961415
North Beach - Blue Ridge,0.15963841967247594
North Beacon Hill,0.08303166474892451
North College Park,7.631512693925102
North Delridge,4.851661598542366
North Queen Anne,4.0766223199596965
Olympic Hills,0.8630001246091207
Phinney Ridge,9.365764499962903
Pike-Market,4.6128873835735815
Pinehurst,0.7661552653225193
Pioneer Square,2.0349325104687632
Portage Bay,2.2465233695931754
Rainier Beach,6.908241109183395
Rainier View,0.0
Ravenna,11.217877251735057
Riverview,3.0009730345095713
Roosevelt,11.217877251735057
Roxhill,4.86507399421375
Sand Point,20.14729802837845
Seaview,2.3464659766873077
Seward Park,12.041043474932172
Seward Park (neighborhood),3.3850712374483365
South Beacon Hill,0.056289999549629925
South Delridge,2.0948143970106186
South Lake Union,13.551255018556432
South Park,1.7785097877493095
Southeast Magnolia,14.928725324508127
Stevens,10.915974822214718
Sunset Hill,3.1633554338193948
University District,7.850908271278404
University of Washington,12.450377679584001
Victory Heights,1.4270098873900758
View Ridge,5.978885312141898
Wallingford,11.04557151435839
Wedgwood,6.19448139892748
West Hill,0.0
West Queen Anne,2.2057075941792745
West Woodland,6.889364602544889
Westlake,17.211889809032442
Whittier Heights,9.453844166141435
Windermere,4.481779413167268
Yesler Terrace,0.8606346392084692
